Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2018,"Casey Kelly","SFG","AAA",28,136,7.345588235294118,2.514705882352941,2.92105263,1.2573529411764706,0.18813559,0.06440678,0.12372881,0.28284672,1.4191176470588236,0.32535885,0.68661972,4.764705882352941,4.855624642091639,-0.09091875973869801,4.652098053606117,"9174"
2014,"Kyle Lobstein","DET","AAA",24,146,7.828767123287672,2.589041095890411,3.02380952,0.6164383561643836,0.19874804,0.0657277,0.13302034,0.29342327,1.4794520547945205,0.35964912,0.72330097,4.068493150684931,3.453569968759197,0.6149231819257341,3.6542932067423655,"9178"
2019,"Daniel Corcino","LAD","AAA",28,119.1,7.918994750933717,4.6005588553043495,1.72131148,1.8854749406985039,0.19924099,0.11574953,0.08349146,0.24454148,1.4497207321815164,0.2652439,0.76712329,4.9022348458161105,6.495002871180876,-1.5927680253647658,6.510457101244045,"9266"
2013,"Daniel Corcino","CIN","AAA",22,129,6.27906976744186,5.093023255813954,1.23287671,1.186046511627907,0.15151515,0.12289562,0.02861953,0.27647059,1.6589147286821706,0.30769231,0.64612326,5.8604651162790695,5.476216139165006,0.3842489771140638,5.082300715113796,"9266"
2012,"Rob Scahill","COL","AAA",25,152,9.414473684210526,4.381578947368421,2.14864865,0.6513157894736842,0.22943723,0.10678211,0.12265512,0.2745098,1.5921052631578947,0.35520362,0.59931507,5.684210526315789,4.115165700410541,1.569044825905248,4.364050656321801,"9286"
2016,"Dylan Axelrod","MIA","AAA",30,133.1,5.804999557113681,2.2274998300552498,2.60606061,0.8774999330520681,0.1557971,0.05978261,0.09601449,0.27027027,1.2974999010086135,0.30310263,0.69961489,4.184999680709863,4.463381119346623,-0.27838143863676024,4.64988297110067,"9303"
2015,"Mike Belfiore","DET","AAA",26,123.2,5.603774045858793,3.5660380291828684,1.57142857,1.0188680083379624,0.13924051,0.08860759,0.05063292,0.28542914,1.5525607746102283,0.31463415,0.64994299,5.603774045858793,4.644897462381799,0.9588765834769939,4.322142808703951,"9324"
2010,"Michael Crotta","PIT","AAA",25,131.1,6.098984299172005,2.535532798532182,2.40540541,0.6852791347384276,0.15614035,0.06491228,0.09122807,0.30188679,1.499999883816336,0.34802784,0.66666667,4.9340097701166785,3.8032050163173534,1.130804753799325,3.717448356360663,"9337"
2010,"Bryan Augenstein","ARI","AAA",23,120.2,7.533149806335602,2.61049745764105,2.88571429,0.8950276997626457,0.18100358,0.06272401,0.11827957,0.31395349,1.6325968227151963,0.37220844,0.58226496,6.563536464926068,4.245590941327636,2.317945523598432,4.38502357965791,"936"
2016,"Hiram Burgos","MIL","AAA",28,143.1,7.220929720080728,3.453488126995131,2.09090909,0.7534883186171195,0.18518519,0.08856683,0.09661836,0.28035714,1.4790696624706419,0.33487298,0.70576541,4.39534852526653,4.481346238302892,-0.08599771303636228,4.921954842646494,"9412"
2015,"Barry Zito","OAK","AAA",37,138,5.934782608695652,3.9130434782608696,1.51666667,0.6521739130434783,0.15423729,0.10169492,0.05254237,0.23047619,1.3115942028985508,0.26179245,0.69767442,3.4565217391304346,4.635617336328479,-1.1790955971980441,5.1953349062066145,"944"
2015,"Dan Straily","HOU","AAA",26,122.2,9.097826841422938,1.8342392825449474,4.96,0.9538044269233726,0.22878229,0.04612546,0.18265683,0.28654971,1.4021740293232485,0.35638298,0.67807351,4.769022134616863,3.6646028489832174,1.1044192856336457,3.7311054368204775,"9460"
2010,"Drew Carpenter","PHI","AAA",25,151,6.913907284768212,3.218543046357616,2.14814815,1.0728476821192052,0.17873652,0.08320493,0.09553159,0.2585034,1.3642384105960266,0.29515419,0.73482428,4.052980132450331,4.480147271440519,-0.4271671389901872,4.296644299511878,"9533"
2011,"Brandon Duckworth","BOS","AAA",35,118,6.711864406779661,3.2033898305084745,2.0952381,0.8389830508474576,0.17670683,0.08433735,0.09236948,0.25279642,1.3135593220338984,0.29310345,0.74697174,3.9661016949152543,4.2537357087862695,-0.28763401387101517,4.4525128260002305,"954"
2015,"Randy Wolf","TOR","AAA",38,139.2,6.830549423512711,2.5775658201934757,2.65,0.2577565820193476,0.18563923,0.07005254,0.11558669,0.26375712,1.2816230050406447,0.32374101,0.78354002,2.5775658201934757,2.9565493784763937,-0.37898355828291796,3.41199349423055,"976"
2010,"Chaz Roe","COL","AAA",23,158,6.550632911392405,3.018987341772152,2.16981132,1.0253164556962024,0.15862069,0.07310345,0.08551724,0.31578947,1.6645569620253164,0.36090226,0.63316993,5.981012658227848,4.747164422047289,1.2338482361805587,4.667872465052937,"9866"
2010,"Michael Kirkman","TEX","AAA",23,131,8.931297709923664,4.67175572519084,1.91176471,0.549618320610687,0.22767075,0.11908932,0.10858143,0.23,1.3969465648854962,0.29558011,0.76659039,3.0916030534351147,4.017721963838767,-0.9261189104036522,4.631054240874662,"9877"
2010,"Lance Broadway","TOR","AAA",26,141,5.680851063829787,4.851063829787234,1.17105263,1.0212765957446808,0.12992701,0.11094891,0.0189781,0.32392027,1.9219858156028369,0.36016097,0.59076682,7.659574468085107,5.561330864277292,2.0982436038078145,5.457130990954155,"9885"
2012,"Garrett Olson","NYM","AAA",28,122.1,7.871934932196716,3.8991827234245413,2.01886792,0.8092643388239614,0.19454545,0.09636364,0.09818181,0.26868687,1.5204360305177458,0.32360743,0.68366165,4.63487757690087,3.9297690695424263,0.7051085073584433,3.94074899626839,"9889"
2012,"Chris Rusin","CHC","AAA",25,140.1,6.028503125949371,3.3990496348437937,1.77358491,1.0902612036291415,0.15284553,0.08617886,0.06666667,0.26353791,1.4180521537398636,0.29119639,0.68777293,4.55344385045112,5.206989566834345,-0.653545716383225,4.81053885244011,"9895"
2013,"Chris Rusin","CHC","AAA",26,121,5.132231404958677,2.0082644628099175,2.55555556,0.5950413223140496,0.13995943,0.05476673,0.0851927,0.24406048,1.1570247933884297,0.27202073,0.71320182,3.347107438016529,4.032573768521144,-0.6854663305046147,4.266474956544963,"9895"
2014,"Chris Rusin","CHC","AAA",27,146.1,5.965831020358282,2.3371296780785022,2.55263158,0.9225511887151983,0.15645161,0.06129032,0.09516129,0.28347826,1.373576214309295,0.31965443,0.71122995,4.305238880670925,4.629763986764971,-0.32452510609404595,4.499223269476947,"9895"
2015,"Chris Volstad","PIT","AAA",28,155.2,5.6081374114491895,2.4860815329104655,2.25581395,0.1734475488077069,0.1480916,0.06564885,0.08244275,0.26368159,1.2976446244132145,0.31013917,0.72533849,3.179871728141293,3.1634507033361716,0.01642102480512131,3.5989013021507645,"9901"
2016,"Chris Volstad","CHW","AAA",29,176.2,4.2792455294192635,1.7320755714316067,2.47058824,0.8150943865560503,0.11428571,0.0462585,0.06802721,0.27729885,1.2849057343626624,0.29697987,0.62977099,4.788679521016795,4.057910901983257,0.7307686190335385,3.8143275779698413,"9901"
2017,"Chris Volstad","CHW","AAA",30,118,5.415254237288136,1.7542372881355932,3.08695652,0.9152542372881356,0.13706564,0.04440154,0.0926641,0.32790224,1.5593220338983051,0.36519608,0.61915888,5.567796610169491,4.142621748326189,1.4251748618433027,3.9015450849371445,"9901"
2013,"Chris Volstad","COL","AAA",26,127.2,4.018277082579856,3.1018279233949766,1.29545455,0.8459530700168117,0.10160428,0.07843137,0.02317291,0.30291262,1.566579759290392,0.32286996,0.72354212,4.582245795924397,4.979685634527124,-0.39743983860272714,4.9421060157256695,"9901"
2010,"Matt Maloney","CIN","AAA",26,134.2,6.950495574535376,1.8712872700672165,3.71428571,0.6014851939501767,0.18538324,0.04991087,0.13547237,0.25239006,1.1881189016299787,0.3,0.66709022,3.341584410834315,3.425773800635921,-0.08418938980160595,3.8661715082682857,"9920"
2010,"Todd Redmond","ATL","AAA",25,162.2,7.856557868367046,2.4344263817475356,3.22727273,1.1618853185613238,0.20913108,0.06480118,0.1443299,0.24605678,1.2295082736098664,0.2866242,0.67016317,4.260246168058187,4.017276838164729,0.24296932989345876,3.924226508873205,"9943"
2011,"Todd Redmond","ATL","AAA",26,169.2,7.532416954560163,2.4931239215797723,3.0212766,0.9548134167752319,0.2049062,0.06782107,0.13708513,0.23824451,1.1728880860387108,0.28033473,0.81958196,2.917485440146542,3.91458620395471,-0.9971007638081679,4.085921266991987,"9943"
2010,"Ryan Ketchner","DET","AAA",28,123.2,6.913747199436173,2.838275166084324,2.43589744,1.455525726197089,0.18164436,0.07456979,0.10707457,0.25311203,1.301886899542952,0.27792916,0.72592593,4.0026957470419955,4.815628737171268,-0.8129329901292728,4.3716261507441345,"sa199599"
